id,en,zh,info,info_zh
38,Blue Dagger,藍色短刀,A small blade ideal for close quartered combat. This one in particular is imbued with ice.,適合用來近身作戰用的刀刃.特別附有冰之魔力.
39,Blue Wand,藍魔杖,A wand for casting magic. This one is particular is imbued with ice.,
40,Claymore,寬刃劍,A large cross-hilted weapon that is seen as a sign of distinction. It may break the enemy's defenses.,
41,Crossbow,弩,A hunter's crossbow.,一把獵人之弩。
42,Dirk,蘇格蘭短劍,A long thrusting dagger. Has a high chance to cause bleeding.,長穿刺匕首，有高機率使敵人流血。
43,Draconian Archistaff,德肯尼亞族權杖,An archistaff granted to Draconian lords. Illuminates your path while carried.,被賞賜給德肯尼亞族領主的權杖.能照亮你眼前的道路.
44,Draconian Bow,德肯尼亞族之弓,A bow of a Draconian forged by the Draconians.,德肯尼亞族打造的德肯尼亞之弓。
45,Draconian Sceptre,德肯尼亞族之笏,A staff of a Draconian acolyte. High magic power.,德肯尼亞族追隨者的法杖.有頗高的魔法攻擊力.
46,Draconian Sword,德肯尼亞族之劍,A sword of a Draconian blacksmith. The quality is quite surprising.,德肯尼亞族鐵匠鑄造之劍，品質令人讚嘆。
47,Draconian Staff,德肯尼亞族法杖,A staff of a Draconian mage. Boasts above average magic power.,德肯尼亞族法師之杖，擁有超凡的魔法攻擊力。
48,Falchion,寬刃刀,"A single edged sword with a curved blade, often used as a tool rather than in combat.","彎曲的單刃刀,比起戰鬥更常作為工具使用."
49,Fallen Mage's Staff,墮落法師之杖,The trusty staff of a fallen mage.,墮落法師的法杖.
50,Fallen Thief's Dagger,墮落盜賊的匕首,The trusty dagger of a fallen thief.,墮落盜賊的可靠的匕首.
51,Fallen Warrior's Sword,墮落戰士之劍,The trusty sword of an unfortunately fallen warrior.,不幸墮落的戰士之劍.
52,Great Staff,強大法杖,A staff favored by archmages of the olden times.,
53,Greatsword,巨劍,"An extremely heavy sword, that must be wielded with all your might.",用盡全力才拿得起來的超重大劍.
54,Iron Hammer,鐵鎚,A large hammer suitable for crushing blows.,適用於擊打的大錘子。
55,Kunai,苦無,A simple pair of kunai.,就是一組苦無.
56,Longsword,長劍,A trusty longsword.,一把可靠的長劍。
57,Mace,狼牙棒,A blunt weapon suitable for heavy blows.,適合用來揮擊的鈍器.
58,Minotaur Axe,牛頭怪斧,"A large, crushing axe used by a minotaur.",牛頭怪所使用的巨大雙面斧。
59,Red Dagger,紅色短刀,A small blade ideal for close quartered combat. This one in particular is imbued with fire.,適合近身作戰的短刀.特別的是他上面有火焰的附魔.
60,Ruby Wand,紅寶石魔杖,A wand for casting magic. This one in particular is imbued with fire.,用來釋放魔法的棍棒.這隻特別充滿了火焰.
61,Scimitar,馬刀,"A short sword with a curved blade, designed for horseback combat.",專為騎馬打仗設計的彎曲刀片短劍。
62,Steelguard,鐵衛,A sword and shield pairing made of hardened steel.,用淬硬鋼做的劍盾組.
64,Ankh,生命之符,"A strange, ancient staff. It seems it can cast spells and also be used as a weapon.",奇怪的遠古法杖.似乎能用來施法或是物理攻擊用.
65,Bow of Scales,鱗之弓,"Although the Lizarr seemed untrained in advanced weaponry, these fine bows have been found within their settlements. This bow is enchanted with the power of ice and water.",雖然蜥蜴人沒有受過先進的武器訓練，但在他們的居住地發現這些精美的弓箭，這把弓充滿了冰與水之力。
66,Cutlass,彎刀,A curved blade often used by nautical warriors.,通常為航海戰士所使用的彎刀。
67,Demonic Blade,惡魔刀刃,Blade of the wandering demon knights. Its thick obsidian blade is infused with the power of darkness and may cause an opponent to fall asleep.,流浪的惡魔騎士之劍，它厚厚的黑曜石刀片被注入黑暗之力，並有機率使敵人沉睡。
68,Fallen Archistaff,墮落權杖,The archistaff of a powerful fallen mage.,強力的墮落法師之權杖.
69,Fallen Knight's Axe,墮落騎士的斧,A large axe of a fallen knight.,墮落騎士的大斧頭.
70,Fallen Rogue's Bow,墮落俠盜的弓,The longbow of a fallen rogue.,墮落俠盜的長弓.
71,Flamberge,弗蘭伯基,"A large, undulating blade said to resemble that of flames.",一把巨大、具有波形的長刀，看似火焰一般。
72,Flameguard,烈焰守衛,A sword and shield pairing enchanted with the power of fire.,附有火之力的劍盾組合.
73,Frosty Daggers,霧之匕首,A pair of of daggers enchanted with the power of the cold.,
74,Jinn Staff,神燈精靈法杖,Magical staff of a Jinn. This weapon may cause unexpected status effects.,神燈精靈的法杖.能造成無法預測的狀態異常.
75,Lizarr Blade,蜥蜴人之刃,Crude blade of the Lizarr.,蜥蜴人的粗刃。
76,Morning Star,晨星,A deadly spiked ball on a chain.,裝在鎖鏈上的致命鐵球.
77,Mythril Bow,秘銀弓,A sturdy bow forged with mythril.,秘銀打造的結實大弓.
78,Mythril Dagger,秘銀匕首,A fine dagger forged of mythril.,精巧的秘銀匕首.
79,Mythril Hammer,秘銀錘,A large hammer made of mythril.,秘銀製成的大錘。
80,Mythril Sword,秘銀劍,A fine sword forged of mythril.,用密銀打造的好劍.
81,Scythe,鐮刀,A large tool quite suitable for cutting grass.,適合割草的大工具。
82,Silver Dagger,銀質匕首,A silver dagger. Quite suitable when fighting the undead.,銀製匕首.適合拿來和不死者戰鬥.
83,Silver Crossbow,銀質十字弓,A silver crossbow especially effective against the undead.,對不死者特別有效的銀質十字弓.
84,Staff of Wolves,狼之杖,Staff of a wolfman mage. Imbued with earthen powers.,狼人法師的杖.附有大地魔法.
85,Batwing Bow,蝙蝠翼弓,Bow forged of a great bat's remains. It may break an opponent's defenses.,用大蝙蝠的遺骸打造的弓.能破壞對手的防禦.
86,Bonecrusher,碎骨者,"A terribly frightening axe, seemingly forged with the hardened bones of an undead. It has a great chance of stunning an opponent.",一把令人恐懼的斧頭，看似用不死生物的堅硬骨頭鍛造而成。它有很大的機會使對手暈眩。
87,Dark Staff,黑暗法杖,A staff that harnesses the dark power of the underworld.,駕馭冥府暗黑魔力的法杖.
88,Earthen Sceptre,大地權杖,A staff that harnesses the earthen power below the wielder.,聚集大地之力的法杖.
89,Elven Sword,精靈劍,A highly decorative weapon wielded by Elven warriors.,精靈戰士所有的極具裝飾性的武器。
90,Fomorian Bow,弗摩爾族之弓,A bow used by Fomorian hunters.,弗摩爾族獵人使用的弓.
91,Fomorian Staff,弗摩爾族法杖,A staff of a Fomorian mage.,弗摩爾族法師的法杖.
92,Fomorian Dagger,弗摩爾族匕首,A crude blade used by Fomorian rogues.,弗摩爾族俠盜使用的粗刃。
93,Fomorian Sword,弗摩爾族長劍,A sword of a Fomorian warrior.,弗摩爾族戰士的劍.
94,Lich's Staff,巫妖法杖,A seemingly ageless magical staff.,貌似永恆的法杖。
95,Orcish Axe,半獸人的斧,Blunt axe of an Orcish warrior.,半獸人戰士的粗曠斧頭.
96,Orcish Blade,半獸人刀鋒,Blunt blade of an Orcish warrior.,巨魔戰士的粗曠大劍.
97,Rune Sword,符文劍,A blade of the spellsword.,魔劍士的劍.
98,Silver Kris,銀質馬來短劍,Two sharp daggers made of the finest silver. Useful for hunting the undead.,
99,Storm Sceptre,風暴權杖,A staff that harnesses the power lurking above the wielder.,能駕馭雲上之力的法杖.
100,Adamantine Staff,精金法杖,"A staff crafted with adamantine. Surely, it will never break.",精金製成的法杖，當然，它永遠不會損壞。
101,Black Witch Staff,黑女巫法杖,"Old, decrepit, dark staff of a powerful witch. Slightly boosts experience earned.",強大女巫的老舊黑暗法杖，可以稍微增加獲得的經驗值。
102,Blood Sword,血劍,A fiery red blade used by the Fomorians.,弗摩爾族使用的赤紅刀刃.
103,Bolt,魔法箭,A spear of a Stormforce warrior. Very few can wield this weapon without feeling a great shock.,風暴戰士之矛，很少有人揮舞它不會受到震盪。
104,Dragon Dagger,龍匕首,A fine blade crafted of a Dragon's talon,使用龍爪打造的良質刀刃
105,Dragon Sword,龍劍,A fine blade crafted of a Dragon's talon.,
106,Earthen Pike,大地長矛,A pike of an Earth Legionnaire.,
107,Elven Katana,精靈武士刀,A highly decorative weapon wielded by Elven warriors.,精靈戰士所有的極具裝飾性的武器。
108,Elven Staff,精靈法杖,A highly decorative staff wielded by Elven mages.,精靈法師使用的華麗法杖.
109,Fog Blade,霧刃,"A foggy, mysterious blade. It may blind an opponent.",霧濛濛的神秘之刃。可能會使對手致盲。
110,Gazing Staff,凝視法杖,A powerful staff adorned with a crystal eye. Increases your ability to see.,鑲嵌水晶之眼的強力法杖，可以增加你的視野。
111,Glacial Staff,冰河法杖,A staff of the Frozenguard that is eternally frozen.,永恆冰凍的寒霜守衛之杖.
112,Great Jinn Staff,大神燈精靈法杖,Magic staff of a great Jinn. This weapon may cause unexpected status effects.,
113,Reaper's Scythe,死神的鐮刀,"The followers of Ankou are fearsome,and this great scythe is their chosen weapon. It has a high chance of causing an opponent to bleed.",
114,Royalty,王權,A sword and shield pairing fit for royal guards.,適合皇家守衛的劍盾組合.
115,Scorcher,灼燒者,This sword of the Inferno Knights is eternally ablaze.,這把煉獄騎士的劍將永遠熾盛.
116,Vajra,金剛杵,A powerful weapon of rain and thunder. Contains the power of lightning and may paralyze an opponent.,富含雷與暴雨之力的武器.能使對手麻痺.
117,Vampiric Blade,吸血鬼之刃,An evil blade wielded by experienced vampires. Attacks with this weapon can slightly restore HP.,老練的吸血鬼使用的妖刀.攻擊時能稍微回復生命值.
118,Balor Dagger,巴羅爾匕首,Dagger often carried as a sidearm by demon soldiers. Has the chance of both burning and causing an opponent to bleed.,惡魔士兵配戴的副手匕首，有機會使對手燃燒及流血。
119,Bow of Diana,戴安娜之弓,Silver bow of a legendary huntress. It grants its wielder extra dexterity.,傳奇獵人的銀質長弓.能提升敏捷.
120,Caladbolg,螺旋劍,"A blade with the power to cleave the tops from the hills. It may paralyze an opponent, while protecting its wielder from paralyzation.",開山刀，它可能會麻痺對手，並保護持有者免疫麻痺。
121,Carnwennan,白柄匕首,A mythical dagger said to have the magical power to shroud its user in shadow. It may lull an opponent to sleep.,傳說中能將使用者壟罩在陰影之中的魔法匕首，它可能會使對手沉睡。
122,Dyrnwyn,白柄,A legendary blade that blazes with fire when drawn.,出鞘時會燃燒的傳說之刃。
123,Durandal,迪朗達爾,"A sword brought by an angel of God. Some say it is the sharpest sword in existence, easily causing an opponent to bleed.",神之使者帶來的劍，有人說這是世上最鋒利的劍，可以輕易使敵人流血。
124,Fallen Mystic's Staff,墮落祕法師的杖,Staff of a fallen mystic.,墮落秘術士的法杖.
125,Masamune,正宗,A beautiful blade that resemble stars in the night sky.,就像那夜空繁星般的美麗刀刃。
126,Might,強力,An axe an shield pairing suitable of taking down great beasts.,
127,Wyvern Blades,飛龍長劍,Crude blades made from the talons of a wyvern. These blades can cause your opponent to bleed.,用飛龍尖爪做的粗糙刀刃.它能讓你的對手流血.
128,Arisen Draconian Archistaff,重生德肯尼亞族權杖,An archistaff granted to Draconian lords. Illuminates your path while carried.,被賞賜給德肯尼亞族領主的權杖.能照亮你眼前的道路.
129,Arisen Minotaur Axe,重生的牛頭怪斧,"A large, crushing axe used by a minotaur.",牛頭怪所使用的巨大雙面斧。
130,Axe of Tiamat,提亞馬特的斧,"A powerful axe forged by the remains of Tiamat, the great ancient dragon.",
131,Bow of Tiamat,提亞馬特之弓,"A superb bow forged of the remains of Tiamat, the great ancient dragon.",使用遠古巨龍提亞馬特的遺骸打造的高超大弓.
132,Crucifix,耶穌受難像,"A staff of the occult. Boasts strong magic power, but can also be used as a weapon. It heals its wielder when dealing damage. (heals 100HP when dealing damage)",
133,Deathbringer,死亡使者,Blade taken from Ankou's deadly scythe. Increases orns and experience earned.,從安庫的死神鐮刀上取下的刀刃.能提升獲得的經驗和歐幣.
134,Staff of Tiamat,提亞馬特的法杖,"A superb staff forged of the remains of Tiamat, the great ancient dragon.",使用遠古巨龍提亞馬特的遺骸打造的優良法杖.
135,Stone Dagger,石化匕首,"A dagger, once a fixture upon a noble statue.  It has a small chance of petrifying an opponent.",
136,Hood,兜帽,A simple hood.,就是個兜帽.
137,Leather Hat,皮革帽子,A leather hat.,一頂皮革帽。
138,Draconian Cowl,德肯尼亞族風帽,A cowl of a Draconian rogue.,德肯尼亞族俠盜風帽。
139,Draconian Hood,德肯尼亞族兜帽,A hood of a Draconian mage,
140,Iron Helmet,鐵頭盔,An old iron helmet,
141,Rune Helmet,符文頭盔,Mystic armor that boasts higher magic defense,
142,Snakeskin Cowl,蛇皮風帽,A cowl made of great snake's remains.,用大蛇遺骸製成的風帽.
143,Count's Hood,伯爵的兜帽,"Hood of a count. It's quite stylish, really",
144,Dark Mage Hood,暗黑法師兜帽,Blackened hood of an undead mage. Increases orns earned.,不死法師的染黑兜帽.增加獲得的歐幣.
145,Hood of Wolves,群狼的兜帽,Hood of a wolfman. Offers decent physical defense.,狼人的兜帽.能提供可觀的物理防禦力.
146,Mythril Helmet,秘銀頭盔,Silver armor that is quite protective.,可提供防護的銀色裝甲。
147,Ancient Hood,遠古兜帽,A seemingly ageless yet pristine hood.,看起來很新的兜帽.
148,Drake Helmet,龍獸頭盔,Heavy armor smithed of dragon scale.,覆蓋著龍鱗的厚重裝甲.
149,Fomorian Hood,弗摩爾族兜帽,A hood worn by Fomorian mages.,弗摩爾族法師所穿戴的兜帽。
150,Adamantine Helmet,精金頭盔,"A helmet smithed of adamantine. Surely, it will never break.",精金製成的頭盔，當然，它不會損壞。
151,Dark Elf Cowl,黑暗精靈的風帽,Worn cowl of a dark elf.,黑暗精靈的破舊風帽.
152,Dark Elf Hood,黑暗精靈兜帽,Worn hood of a dark elf.,黑暗精靈的破舊兜帽.
153,Witch's Hat,女巫帽,"The symbolic headwear of Carman, the banished witch.",被放逐的女巫卡門的象徵性頭飾.
154,Wyvern Helmet,飛龍頭盔,An exotic helmet made of wyvern skin.,用飛龍皮做的高級頭盔.
155,Chainmail,鎖子甲,Armor made of chainmail,
156,Dingy Robe,骯髒的長袍,A smelly old robe.,臭臭的舊法袍.
157,Goblin Armor,哥布林盔甲,Light armor of a goblin.,哥布林的輕裝甲。
158,Hard Leather Armor,重皮革盔甲,Light armor reinforced with hardened leather. Offers fair protection from the elements.,由硬化皮革加工而成的輕裝甲，對於元素攻擊提供直接地保護。
159,Iron Armor,鐵甲,Heavy armor made of iron,
160,Leather Jacket,皮外套,A simple leather jacket.,就是個皮革外套.
161,Simple Robe,簡易的長袍,A simple mage's robe. Offers a small amount of magic protection.,就是個法師的長袍.稍微有點魔法防禦力.
162,Bearskin,熊皮,Armor made of the hide of a bear.,由熊身上所取得的盔甲。
163,Draconian Armor,德肯尼亞族盔甲,Armor of a Draconian warrior.,德肯尼亞族戰士盔甲。
164,Draconian Garb,德肯尼亞族皮甲,Body coverings of a Draconian rogue.,德肯尼亞族俠盜罩衫。
165,Draconian Robe,德肯尼亞族法袍,A robe of a Draconian mage.,德肯尼亞族法師長袍。
166,Rune Armor,符文盔甲,Mystical armor that boasts higher magic defense.,提供更高魔防的神祕盔甲。
167,Snakeskin Armor,蛇皮盔甲,Armor made of great snake's remains.,大蛇遺體製成的盔甲。
168,Count's Garment,伯爵的服裝,"Cloak of a count. It's quite stylish, really.","伯爵的披風.蠻潮的,真的啦."
169,Dark Garb,黑暗皮甲,Dark garb of an undead wanderer. Increases orns earned.,
170,Dark Mage Robe,暗黑法師長袍,Blackened robe of an undead mage. Increases orns earned.,被不死族法師染黑的法袍.能增加獲得的歐幣.
171,Fur Coat,毛皮大衣,Coat made of fur of a wild beast.,野獸毛皮大衣。
172,Hobgoblin Armor,巨型哥布林盔甲,Light armor of a hobgoblin.,巨型哥布林的輕裝甲.
173,Lizarr Armor,蜥蜴人盔甲,Armor of a Lizarr warrior.,蜥蜴人戰士的盔甲.
174,Mythril Armor,秘銀盔甲,Silver armor that is quite protective.,可提供防護的銀色裝甲。
175,Robe of Wolves,群狼的法袍,Robe of a wolfman.,狼人的法袍.
176,Ancient Robe,遠古法袍,A seemingly ageless yet pristine robe.,看起來嶄新的法袍.
177,Drake Armor,龍獸盔甲,Heavy armor smithed of a dragon scale.,
178,Fomorian Armor,弗摩爾族盔甲,Heavy armor worn by Fomorian warriors.,弗摩爾族戰士穿的重裝甲.
179,Fomorian Garb,弗摩爾族皮甲,Light armor worn by Fomorian warriors.,弗摩爾族戰士所穿的輕裝甲.
180,Fomorian Robe,弗摩爾族長袍,A robe worn by Fomorian mages.,弗摩爾族法師所穿的法袍.
181,Great Bearskin,完美的熊皮肩,Protective armor made of the hide of a great bear.,由強大的熊身上所取得的完美盔甲。
182,Wolfskin,狼皮,Light armor crafted of a wolf's remains.,狼身製作而成的輕裝甲。
183,Adamantine Armor,精金盔甲,"Armor smithed of adamantine. Surely, it will never break.","用精金精煉而成的盔甲.理所當然的,它恆久不壞."
184,Dark Elf Garb,黑暗精靈皮甲,Worn garb of a dark elf.,黑暗精靈穿的破舊皮甲.
185,Dark Elf Robe,黑暗精靈法袍,Worn robe of a dark elf.,黑暗精靈的破舊長袍.
186,Harpy's Feathers,哈比的羽毛,"Crude armor made of the remains of a harpy.  Does not offer much defense, but raises your dexterity.",
187,Wyvern Armor,飛龍盔甲,An exotic chest guard made of wyvern skin.,用飛龍皮做的高級胸甲.
188,Wyvern Chestmail,飛龍鎖甲,An exotic chest guard made of wyvern skin.,用飛龍皮做的高級胸甲.
189,Reaper's Robe,死神的法袍,"The blackened robe of Ankou, the henchman of Death. Slightly increases orns earned. It is most fitting for the most skilled of mages.",傳說中的死神安庫身上所攜帶暗到發黑的長袍。穿上它能稍微增加歐幣獲取，這件裝備很適合老練的法師穿戴。
190,Wyvern Robe,飛龍法袍,An exotic robe made of wyvern skin.,用飛龍皮做的高級法袍.
191,Chainmail Leggings,鎖子腿甲,Armor made of chainmail.,鎖鏈做的盔甲.
192,Goblin Boots,哥布林長靴,Boots of a goblin.,哥布林的長靴.
193,Hard Leather Boots,堅硬皮革長靴,Sturdy leather boots. Offers extra protection.,堅固的皮靴，提供額外的保護。
194,Heavy Boots,重型長靴,"Heavy boots, made to endure most weather conditions.",做來面對各種天氣狀況的靴子.
195,Leather Boots,皮靴,These boots were only made for walking.,只能用來走路的靴子.
196,Draconian Boots,德肯尼亞族長靴,Boots of a Draconian rogue.,德肯尼亞族俠盜長靴。
197,Mage's Boots,法師長靴,Stylish boots of a mage.,時髦的法師長靴。
198,Rune Leggings,符文腿甲,Mystical armor that boasts higher magical defense.,
199,Boots of Wolves,狼之長靴,Boots of a wolfman.,狼人長靴。
200,Hobgoblin Boots,巨型哥布林長靴,Boots of a hobgoblin.,巨型哥布林的長靴.
201,Lizarr Boots,蜥蜴人長靴,Boots of a Lizarr warrior.,蜥蜴人戰士的長靴.
202,Lizarr Leggings,蜥蜴人腿甲,Armor of a Lizarr warrior.,蜥蜴人戰士的盔甲.
203,Mythril Leggings,秘銀腿甲,Silver armor that is quite protective.,可提供防護的銀色裝甲。
204,Ancient Boots,遠古長靴,A seemingly ageless yet pristine pair of boots.,看起來嶄新的靴子.
205,Drake Boots,龍獸長靴,Heavy armor smithed of dragon scale.,覆蓋著龍鱗的厚重裝甲.
206,Drake Leggings,龍獸腿甲,Heavy armor smithed of a dragon scale.,
207,Fomorian Boots,弗摩爾族長靴,Boots worn by Fomorian mages.,弗摩爾族法師穿的長靴.
208,Fomorian Leggings,弗摩爾族腿甲,Leg armor worn by Fomorian warriors,
209,Adamantine Leggings,精金腿甲,"Leg armor smithed of adamantine. Surely, it will never break.",
210,Dark Elf Boots,黑暗精靈長靴,Worn boots of a dark elf.,黑暗精靈的破舊長靴.
211,Wyvern Boots,飛龍長靴,Exotic boots made of wyvern skin.,用飛龍皮做的高級長靴.
212,Wyvern Leggings,飛龍腿甲,"Exotic, heavy leg armor made of wyvern skin.",用飛龍皮做的高級厚重腿甲.
213,Wyvern Mage's Boots,飛龍法師的長靴,Exotic boots made of wyvern skin.,用飛龍皮做的高級長靴.
214,Amulet,護身符,A simple amulet. Slightly raises attack power.,簡單的護身符，少量增加物攻。
215,Belt,腰帶,A standard belt. Improves your dexterity.,很基本款的腰帶，稍微提高一點敏捷性。
216,Iron Ring,鐵戒指,A standard ring. You feel slightly stronger while wearing it.  Slightly raises defense.,
217,Blue Gem,藍寶石,An odd blue gem. Raises MP when equipped.,奇怪的藍色寶石.裝備時能提升魔力值.
218,Green Gem,綠寶石,An odd green gem. Raises magic power when equipped.,奇怪的綠寶石.裝備它能提升魔攻.
219,Monster Tome,魔物之典,A tome of common monsters. Slightly boosts experience earned.,普通的魔物之典.能稍微提升獲得的經驗值.
220,Red Gem,紅寶石,An odd red gem. Raises HP when equipped.,奇怪的紅色寶石，裝備它會增加生命值。
221,Silver Amulet,銀質護身符,"A shiny, silver amulet. Raises attack power.",閃亮亮的銀質護身符.能提升物攻.
222,Steel Belt,鐵腰帶,A belt fashioned with steel. Improves your dexterity and defense.,鋼製腰帶，可以增加你的敏捷和物防。
223,Steel Ring,鋼鐵之戒,A ring made of steel. Raises defense when worn.,用鋼製成的戒指.戴上它能提升物防.
224,Blue Crystal,藍水晶,An odd blue crystal. Boosts MP when equipped.,一個奇怪的藍色水晶，裝備時可以增加魔力值。
225,Coin Purse,零錢包,A bag for coins. Slightly raises gold earned.,裝零錢的袋子.能稍微提升獲得的金錢.
226,Crystal Eye,水晶眼,A strange eye imbued with even stranger magic. Keeping this in your hand will slightly boost all stats.,有著詭異魔法加持的奇怪眼球.拿在手上能稍微提升身體素質.
227,Green Crystal,綠水晶,An odd green crystal. Boosts magic power when equipped.,奇特的綠水晶.裝備時能提升魔力.
228,Lantern,提燈,Keep this in your hand at night to increase visibility. You may attract more monsters as well.,拿在手上能增加視野. 也能吸引更多的怪物.
229,Mythril Amulet,秘銀護身符,A rare amulet made of mythril. Raises attack power.,秘銀製成的稀有護身符，可以提升物攻。
230,Mythril Ring,秘銀戒,A ring made of mythril. Raises defense when worn.,秘銀製成的戒指，穿戴時可以增加物防。
231,Red Crystal,紅色水晶,An odd red crystal. Boosts HP when equipped.,一顆奇怪的紅色水晶，裝備它可以增加生命值。
232,Earthen Belt,大地腰帶,Belt of Earthen Legion. Grants protection from earthen magic.,大地軍團的腰帶，保護穿戴者減免地屬性法術的傷害。
234,Enchanted Skull,附魔顱骨,A skull enchanted with strange magic. Attracts more monsters to you when carried.,附有奇妙魔法的顱骨.戴上它能更多吸引怪物.
235,Flame Belt,火焰腰帶,Belt of the Inferno Knights. Grants protection from fire.,煉獄騎士的腰帶.能抵禦烈火.
236,Frost Belt,寒霜腰帶,Belt of the Frozenguard. Grants protection from ice.,寒霜守衛的腰帶.能抵擋寒氣.
237,Mage's Ring,法師戒指,A strange magical ring. Those who are not trained in magical arts can equip this ring to sacrifice physical strength for magical power.,
238,Platinum Amulet,白金護身符,A rare platinum amulet. Raises attack power.,罕見的白金護身符.能提升物理攻擊力.
239,Storm Belt,風暴腰帶,Belt of Stormforce. Grants protection from lightning.,風暴之力的腰帶.能抵抗雷電.
240,Troll's Charm,巨魔護符,Strange amulet of a troll. Boosts most stats.,巨魔的神奇護身符，可以增加許多屬性。
241,Mystic's Ring,秘術士之戒,A strange magical ring. Those who do not possess physical strength can equip this ring to sacrifice magic for attack power.,適合弱雞的奇特魔戒，它會犧牲魔攻以換取物攻。
242,Great Monster Tome,大魔物之典,A large tome of monster knowledge. Increases experience earned.,充滿魔物知識的巨著.能增加獲得的經驗值.
243,Draconian Leggings,德肯尼亞族腿甲,Armor of a Draconian warrior.,德肯尼亞族戰士盔甲。
244,Magician's Robe,魔法使的長袍,A simple robe worn by students of magic.,魔法學徒穿戴的簡易長袍。
245,Magician's Hood,魔法使的兜帽,The hood of a student of magic.,魔法學徒的兜帽.
246,Gnome's Hat,侏儒帽,A gnome's red hat.,侏儒的紅帽子.
247,Adamantine,精金,An unbreakable chunk of adamantine. Used to craft extremely durable weapons and armor.,打不破的精金礦石.用來打造耐用的武器和裝甲.
248,Ancient Stone,遠古之石,An extremely ancient stone. Useful for upgrading powerful weapons.,非常古老的石頭，它可以用來升級強大的武器。
249,Bone,骨頭,A fragment of sturdy bone. Useful for crafting and upgrading weapons or armor.,堅硬的骨頭碎片，它可以用來製作與升級武器或防具。
250,Broken Statue,破損雕像,A broken piece of a statue. It may be useful in upgrading rarer weapons.,殘破的雕像碎片。能用來升級稀有武器。
251,Cavestone,洞穴石,Stone mined from an eerie cave. Useful for upgrading powerful weapons.,從陰森恐怖的洞穴中開採的石頭。對於升級強大的武器很有用。
